start_pacific,end_pacific,duration_sec,video_id,url
2026-09-07 09:12:55 AM,09:13:16 AM,21,v2867880455,https://www.twitch.tv/videos/2867880455
2026-09-07 09:13:26 AM,09:13:47 AM,21,v2867880869,https://www.twitch.tv/videos/2867880869
2026-09-07 09:13:57 AM,09:14:18 AM,21,v2867881230,https://www.twitch.tv/videos/2867881230
2026-09-07 09:14:28 AM,09:14:49 AM,21,v2867881633,https://www.twitch.tv/videos/2867881633
2026-09-07 09:15:00 AM,09:15:20 AM,20,v2867882039,https://www.twitch.tv/videos/2867882039
2026-09-07 09:15:30 AM,09:15:50 AM,20,v2867882464,https://www.twitch.tv/videos/2867882464
2026-09-07 09:16:00 AM,09:16:21 AM,21,v2867882886,https://www.twitch.tv/videos/2867882886
2026-09-07 09:16:32 AM,09:16:53 AM,21,v2867883278,https://www.twitch.tv/videos/2867883278
2026-09-07 09:17:03 AM,09:17:24 AM,21,v2867883699,https://www.twitch.tv/videos/2867883699
2026-09-07 09:17:34 AM,09:17:56 AM,22,v2867884115,https://www.twitch.tv/videos/2867884115
2026-09-07 09:18:07 AM,09:18:28 AM,21,v2867884544,https://www.twitch.tv/videos/2867884544
2026-09-07 09:18:38 AM,09:18:59 AM,21,v2867884926,https://www.twitch.tv/videos/2867884926
2026-09-07 09:19:10 AM,09:19:31 AM,21,v2867885371,https://www.twitch.tv/videos/2867885371
2026-09-07 09:19:41 AM,09:20:03 AM,22,v2867885799,https://www.twitch.tv/videos/2867885799
2026-09-07 09:20:13 AM,09:20:33 AM,20,v2867886213,https://www.twitch.tv/videos/2867886213
2026-09-07 09:20:44 AM,09:21:03 AM,19,v2867886627,https://www.twitch.tv/videos/2867886627
2026-09-07 09:21:13 AM,09:21:32 AM,19,v2867887021,https://www.twitch.tv/videos/2867887021
2026-09-07 09:21:43 AM,09:22:04 AM,21,v2867887398,https://www.twitch.tv/videos/2867887398
2026-09-07 09:22:14 AM,09:22:34 AM,20,v2867887817,https://www.twitch.tv/videos/2867887817
2026-09-07 09:22:44 AM,09:23:03 AM,19,v2867888191,https://www.twitch.tv/videos/2867888191
2026-09-07 09:23:14 AM,09:23:33 AM,19,v2867888566,https://www.twitch.tv/videos/2867888566
2026-09-07 09:23:43 AM,09:24:02 AM,19,v2867888957,https://www.twitch.tv/videos/2867888957
2026-09-07 09:24:12 AM,09:24:32 AM,20,v2867889358,https://www.twitch.tv/videos/2867889358
2026-09-07 09:24:42 AM,09:25:01 AM,19,v2867889734,https://www.twitch.tv/videos/2867889734
2026-09-07 09:25:11 AM,09:25:30 AM,19,v2867890130,https://www.twitch.tv/videos/2867890130
2026-09-07 09:25:39 AM,09:25:58 AM,19,v2867890547,https://www.twitch.tv/videos/2867890547
2026-09-07 09:26:08 AM,09:26:27 AM,19,v2867890958,https://www.twitch.tv/videos/2867890958
2026-09-07 09:26:37 AM,09:26:55 AM,18,v2867891380,https://www.twitch.tv/videos/2867891380
2026-09-07 09:27:05 AM,09:27:21 AM,16,v2867891780,https://www.twitch.tv/videos/2867891780
2026-09-07 09:27:32 AM,09:27:48 AM,16,v2867892131,https://www.twitch.tv/videos/2867892131
2026-09-07 09:27:58 AM,09:28:14 AM,16,v2867892486,https://www.twitch.tv/videos/2867892486
2026-09-07 09:28:25 AM,09:28:42 AM,17,v2867892853,https://www.twitch.tv/videos/2867892853
2026-09-07 09:28:51 AM,09:29:08 AM,17,v2867893211,https://www.twitch.tv/videos/2867893211
2026-09-07 09:29:18 AM,09:29:34 AM,16,v2867893555,https://www.twitch.tv/videos/2867893555
2026-09-07 09:29:44 AM,09:30:00 AM,16,v2867893910,https://www.twitch.tv/videos/2867893910
2026-09-07 09:30:11 AM,09:30:30 AM,19,v2867894333,https://www.twitch.tv/videos/2867894333
2026-09-07 09:30:41 AM,09:31:01 AM,20,v2867894769,https://www.twitch.tv/videos/2867894769
2026-09-07 09:31:11 AM,09:31:30 AM,19,v2867895194,https://www.twitch.tv/videos/2867895194
